傷つく,"きずつく「THƯƠNG」 - Bị tổn thương, bị trầy xước; 意味: けがをする、物の表面が痛む、心が苦しくなる; ポイント: 心が傷つく、プライドが傷つく; 例文: 親友に嘘をつかれて、心が深く傷ついた。"
求める,"もとめる「MÔU」 - Tìm kiếm, yêu cầu, mong muốn; 意味: 欲しがる、相手に要求する、探す; ポイント: 助けを求める、解答を求める; 例文: 彼は周囲に助けを求めることなく、一人で問題を解決した。"
ずれる,"ずれる - Lệch, trượt khỏi, không khớp; 意味: 正しい位置から動く、考えやタイミングが合わない; ポイント: タイミングがずれる、焦点がずれる; 例文: 地震の影響で、家の柱が少しずれてしまったようだ。"
支える,"ささえる「CHI」 - Nâng đỡ, hỗ trợ, duy trì; 意味: 倒れないように持つ、助ける、維持する; ポイント: 家族を支える、屋根を支える柱; 例文: 苦しい時、いつも家族の存在が私を支えてくれた。"
頼る,"たよる「LẠI」 - Nhờ cậy, phụ thuộc, dựa dẫm; 意味: 助けを求めてすがる、依存する; ポイント: 親に頼る、杖に頼って歩く; 例文: 彼は困ったことがあっても、決して他人に頼ろうとしない。"
逆らう,"さからう「NGHỊCH」 - Chống đối, ngược lại; 意味: 反対の方向に進む、命令や教えに背く; ポイント: 流れに逆らう、親の言いつけに逆らう; 例文: 強い風に逆らって歩くのは、とても体力がいる。"
捻る,"ひねる「NIÊM」 - Vặn, xoay, đánh đố; 意味: 指先で回す、体の一部を曲げる、知恵をしぼる; ポイント: 蛇口を捻る、足首を捻る、頭を捻る（vắt óc）; 例文: 蛇口を捻っても、水が全く出てこない。"
静まる,"しずまる「TĨNH」 - Trở nên yên tĩnh, lắng xuống; 意味: 静かになる、騒ぎや感情が収まる; ポイント: 会場が静まる、嵐が静まる; 例文: 先生が教室に入ってくると、騒がしかった生徒たちが一斉に静まった。"
転がる,"ころがる「CHUYỂN」 - Lăn, ngã nhào, nằm ngả ngốn; 意味: 物が回転して動く、倒れる、横になる; ポイント: ボールが転がる、ベッドに転がる; 例文: 坂道を転がり落ちてきたボールを、慌てて受け止めた。"
憧れる,"あこがれる「SUNG」 - Ngưỡng mộ, khao khát, thần tượng; 意味: 理想の人や物事に強く惹かれる; ポイント: 都会に憧れる、スターに憧れる; 例文: 私は子供の頃から、ずっと宇宙飛行士に憧れていた。"
味わう,"あじわう「VỊ」 - Thưởng thức, nếm trải; 意味: 食べ物のおいしさを感じること, 物事の良さや苦しさを体験すること; ポイント: 料理を味わう, 人生の苦しみを味わう; 例文: このレストランでは、旬の食材を使った料理をゆっくりと味わうことができる."
設ける,"もうける「THIẾT」 - Thiết lập, lập ra, tạo ra; 意味: 新しく準備して作ること; ポイント: 相談窓口を設ける, 制限を設ける; 例文: 社内に新しいプロジェクトのための特別チームを設けることになった."
震える,"ふるえる「CHẤN」 - Run rẩy, rung; 意味: 体や物が細かく動くこと; ポイント: 寒さで震える, 声が震える; 例文: 彼は緊張のあまり、スピーチの間中ずっと手が震えていた."
誓う,"ちかう「THỆ」 - Thề, hứa; 意味: 固く約束すること; ポイント: 成功を誓う, 心に誓う; 例文: 彼は二度と嘘をつかないと、親友に強く誓った."
むかつく,"むかつく - Khó chịu, tức giận, buồn nôn; 意味: 腹が立つ, 胃の調子が悪い; ポイント: 態度にむかつく, 胃がむかつく; 例文: 彼の失礼な態度を思い出すたびに、今でもむかつく."
呼び止める,よびとめる「HÔ CHỈ」 - Gọi dừng lại; 意味: 呼んで立ち止まらせること; ポイント: 通行人を呼び止める; 例文: 忘れ物をしたので、走り去ろうとする彼を大声で呼び止めた.
仕上げる,"しあげる「SĨ THƯỢNG」 - Hoàn thành, kết thúc; 意味: 最後までやって完成させること; ポイント: レポートを仕上げる; 例文: 締め切りまでに、なんとかこの作品を仕上げることができた."
割り込む,"わりこむ「CÁT NHẬP」 - Chen ngang, xen vào; 意味: 列などに強引に入ること, 人の話に口を出すこと; ポイント: 列に割り込む, 話に割り込む; 例文: 順番を待っている列に割り込むのは、非常にマナーが悪い行為だ."
差し支える,"さしつかえる「SAI CHI」 - Gây cản trở, gây phiền hà; 意味: 邪魔になる, 都合が悪くなる; ポイント: 業務に差し支える; 例文: 夜更かしをして寝不足になると、翌日の仕事に差し支える."
買い占める,"かいしめる「MÃI CHIẾM」 - Mua sạch, mua đầu cơ; 意味: ある商品を全部買ってしまうこと; ポイント: マスクを買い占める; 例文: 台風が来るというニュースを聞いて、多くの人が食料品を買い占めた."
思い切る,"おもいきる「TƯ THIẾT」 - Quyết tâm, từ bỏ, dứt khoát; 意味: 諦める、覚悟を決める; ポイント: 思い切って（Dứt khoát/Mạnh dạn）; 例文: ずっと好きだった人に、思い切って告白することにした。"
振り向く,"ふりむく「CHẤN HƯỚNG」 - Ngoảnh lại, nhìn quanh; 意味: 後ろを見る、関心を持つ; ポイント: 後ろを振り向く; 例文: 名前を呼ばれたような気がして後ろを振り向いたが、誰もいなかった。"
思いつく,"おもいつく「TƯ」 - Nghĩ ra, nảy ra (ý tưởng); 意味: アイデアなどが浮かぶ; ポイント: いい考えを思いつく; 例文: 散歩をしている時に、新しいプロジェクトのアイデアをふっと思いついた。"
引き止める,"ひきとめる「DẪN CHỈ」 - Giữ lại, ngăn cản (ai đó rời đi); 意味: 帰ろうとする人を止めさせる、制止する; ポイント: 客を引き止める; 例文: 会社を辞めようとしたが、上司に強く引き止められた。"
打ち消す,"うちけす「ĐẢ TIÊU」 - Phủ nhận, bác bỏ, át đi (tiếng ồn); 意味: 否定する、かき消す; ポイント: 噂を打ち消す; 例文: 彼はその噂を事実ではないと強く打ち消した。"
飛び散る,"とびちる「PHI TÁN」 - Bay lung tung, văng tung tóe; 意味: 飛び跳ねて散らばる; ポイント: 火花が飛び散る、水滴が飛び散る; 例文: 花瓶が割れて、破片があちこちに飛び散ってしまった。"
