儲ける,"もうける「TRỮ」 - Kiếm lời, có con; 意味: 利益を得る、得をする; ポイント: お金を儲ける、子を儲ける; 例文: 彼は株の投資で多額のお金を儲けた。"
控える,"ひかえる「KHỐNG」 - Hạn chế, kiềm chế, đợi chờ, ghi chép; 意味: 数量を少なめにする、近くで待機する、記録する; ポイント: 塩分を控える、発言を控える、ノートに控える; 例文: 健康のために、甘いものを控えるようにしている。"
実る,"みのる「THỰC」 - Ra hoa kết trái, đạt kết quả; 意味: 植物に実ができる、成果があらわれる; ポイント: 努力が実る、リンゴが実る; 例文: 長年の努力が実り、ついにプロジェクトが成功した。"
改める,"あらためる「CẢI」 - Thay đổi, cải thiện, kiểm tra; 意味: 新しくし直す、悪い点を直す、調べる; ポイント: 規則を改める、服装を改める、日を改める; 例文: 遅刻が多いので、生活習慣を改めなければならない。"
補う,"おぎなう「BỔ」 - Bổ sung, đền bù; 意味: 足りない分を足して完全にする; ポイント: 欠点を補う、不足分を補う; 例文: 足りない栄養素をサプリメントで補っている。"
触れる,"ふれる「XÚC」 - Chạm, tiếp xúc, đề cập đến; 意味: 手でさわる、耳や目に付く、話題にする; ポイント: 展示品に触れる、話題に触れる、法に触れる; 例文: ギャラリーの作品には手を触れないでください。"
敗れる,"やぶれる「BẠI」 - Thua, bị đánh bại; 意味: 試合や勝負で負ける; ポイント: 決勝で敗れる、敵に敗れる; 例文: 昨日の試合では、ライバル校に惜しくも敗れてしまった。"
雇う,"やとう「CỐ」 - Thuê, mướn; 意味: お金を払って人を使ったり、車などを借りたりする; ポイント: 従業員を雇う、タクシーを雇う; 例文: 事業を拡大するために、新しく5人のスタッフを雇った。"
恐れる,"おそれる「KHỦNG」 - Sợ hãi, lo sợ; 意味: 怖いと思う、心配する; ポイント: 失敗を恐れる、周囲の目を恐れる; 例文: 失敗を恐れていては、新しいことに挑戦することはできない。"
適する,"てきする「THÍCH」 - Phù hợp, thích hợp; 意味: 条件や目的にぴったり合う; ポイント: 栽培に適する、運動に適した服装; 例文: この土地は気候が温暖で、果物の栽培に適している。"
乱れる,"みだれる「LOẠN」 - Bị lộn xộn, bị rối, mất bình tĩnh; 意味: 整った状態が崩れる; ポイント: ダイヤが乱れる、髪が乱れる、心が乱れる; 例文: 台風の影響で、電車のダイヤが大幅に乱れている。"
防ぐ,"ふせぐ「PHÒNG」 - Phòng ngừa, ngăn chặn; 意味: 悪いことが起きないようにする; ポイント: 事故を防ぐ、病気を防ぐ、寒さを防ぐ; 例文: 適切な対策を講じることで、情報の流出を防ぐことができる。"
割る,"わる「CÁT」 - Làm vỡ, chia nhỏ, thấp hơn (mức nào đó); 意味: 固いものに力を加えて分ける、数字を分ける; ポイント: 皿を割る、10を2で割る、100人を割る; 例文: 不注意で、大切にしていた花瓶を割ってしまった。"
