要点,ようてん「YẾU ĐIỂM」 - Điểm trọng yếu; 意味: 物事の大事な部分; ポイント: 要点をまとめる、要点をつかむ; 例文: 彼の説明は要点がまとまっていて分かりやすい。
購入,こうにゅう「CẤU NHẬP」 - Mua; 意味: 物を買うこと; ポイント: 商品を購入する、定期購入; 例文: 新しい車を購入するために貯金をしている。
再発,さいはつ「TÁI PHÁT」 - Tái phát; 意味: 一度治まったことが再び起こること; ポイント: 病気の再発、問題の再発防止; 例文: 二度とこのような事故が再発しないように対策を立てる。
講演,こうえn「GIẢNG DIỄN」 - Diễn giảng; 意味: 大勢の前で、ある題目について話をすること; ポイント: 講演会、講演を依頼する; 例文: 有名な作家の講演を聞きに行った。
対策,"たいさく「ĐỐI SÁCH」 - Đối sách, biện pháp; 意味: 問題を解決するための手段; ポイント: 対策を立てる、暑さ対策; 例文: テストに向けて、早めに対策を立てる必要がある。"
優先,ゆうせん「ƯU TIÊN」 - Ưu tiên; 意味: 他のものより先に扱うこと; ポイント: 優先順位、歩行者優先; 例文: 仕事よりも家族との時間を優先したい。
勤務,きんむ「CẦN VỤ」 - Làm việc; 意味: 会社などに勤めること; ポイント: 勤務時間、勤務地; 例文: 彼は大手銀行に10年間勤務している。
覚悟,"かくご「GIÁC NGỘ」 - Sự sẵn sàng, quyết tâm; 意味: 困難なことを受け入れる心構えをすること; ポイント: 覚悟を決める、覚悟の上だ; 例文: 批判されることは覚悟の上で、自分の意見を言った。"
手数料,"てすうりょう「THỦ SỔ LIÊU」 - Lệ phí, phí dịch vụ; 意味: 手続きや仲介などの際、支払うお金; ポイント: 振込手数料、仲介手数料; 例文: 銀行のATMで、夜間は手数料がかかる。"
記録,"きろく「KÍ LỤC」 - Kỷ lục, ghi chép; 意味: 事実を書き記すこと、最高成績; ポイント: 世界記録、記録を残す; 例文: 彼はマラソンで世界新記録を更新した。"
免許,"めんきょ「MIỄN HỨA」 - Giấy phép, bằng cấp; 意味: 許可を得ること、その証明書; ポイント: 運転免許、免許を取得する; 例文: 18歳になったので、車の運転免許を取りたい。"
手前,"てまえ「THỦ TIỀN」 - Phía trước mặt, ngay trước; 意味: 自分に近い方、目の前; ポイント: 交差点の手前、駅の手前; 例文: その交差点の手前で車を止めてください。"
演技,えんぎ「DIỄN KỸ」 - Diễn xuất; 意味: 俳優などが役を演じること; ポイント: 演技がうまい、迫真の演技; 例文: 彼の素晴らしい演技に、観客は皆感動した。
監督,"かんとく「GIAM ĐỐC」 - Đạo diễn, huấn luyện viên, giám sát; 意味: 指導や指図をする人; ポイント: 映画監督、野球チームの監督; 例文: あの映画監督の作品は世界中で評価されている。"
出場,"しゅつじょう「XUẤT TRÀNG」 - Ra sân, tham gia (trận đấu, đại hội); 意味: 試合や行事に出ること; ポイント: 試合に出場する、オリンピック出場; 例文: けがをしてしまい、明日の試合に出場できなくなった。"
選択,せんたく「TUYỂN TRẠCH」 - Lựa chọn; 意味: 多くの中から選ぶこと; ポイント: 選択肢、正しい選択; 例文: 将来のために、今どの道を進むべきか選択しなければならない。
演奏,"えんそう「DIỄN TẤU」 - Diễn tấu, biểu diễn (nhạc cụ); 意味: 楽器を弾くこと; ポイント: ピアノ演奏、演奏会; 例文: 彼女のバイオリンの演奏はとても美しかった。"
仕組み,"しくみ「SĨ TỔ」 - Cơ chế, cấu tạo, hệ thống; 意味: 物事の構造や成り立ち; ポイント: 社会の仕組み、機械の仕組み; 例文: この新しい機械が動く仕組みを説明してください。"
一変,いっぺん「NHẤT BIẾN」 - Thay đổi hoàn toàn; 意味: すっかり変わること; ポイント: 態度が一変する、状況が一変する; 例文: その事件の後、彼の態度は一変してしまった。
援助,"えんじょ「VIÊN TRỢ」 - Viện trợ, giúp đỡ; 意味: 困っている人を助けること; ポイント: 資金援助、経済的援助; 例文: 被災地の人々を援助するために募金活動を行う。"
伝言,でんごん「TRUYỀN NGÔN」 - Lời nhắn; 意味: 人に頼んで伝えてもらう言葉; ポイント: 伝言を残す、伝言を承る; 例文: 留守番電話に伝言を残しておいた。
真実,しんじつ「CHÂN THỰC」 - Sự thật; 意味: うそ偽りのない本当のこと; ポイント: 真実を語る、真実を隠す; 例文: 彼はついに事件の真実を話し始めた。
でたらめ,"でたらめ - Linh tinh, nhảm nhí, hàm hồ; 意味: 根拠がなく、いい加減なこと; ポイント: でたらめを言う、でたらめな答え; 例文: テストで分からない問題はでたらめに答えてしまった。"
